Timestamp,Hour,Day,Week,Month,Season,Working Day,Holiday,Academic Session,Temperature,Humidity,Rainfall,Weather Condition,Heat Index,Building,Floor,Occupancy,Students,Faculty,Running Computers,Running ACs,Lighting Load,HVAC Load,Equipment Usage,Laboratory Usage,Workshop Usage,CoE Activity,Voltage,Current,Frequency,Power Factor,Current Power (kW),Daily Energy (kWh),Daily Cost,Carbon Emission,Prev Hour Consumption,Prev Day Consumption,Prev Week Consumption,Energy Consumption
2026-07-27 18:30,0,Tuesday,30,Jul,Monsoon,No,No,No,20,88,0,Clear,23,Academic Block A,1,3,2,1,2,1,0.96,1.5,0,0,0,0,229,18.7,50,0.866,4.28,4.28,36.35,3.51,6.42,4.53,4.15,4.28
2026-07-27 18:30,0,Tuesday,30,Jul,Monsoon,No,No,No,20,88,3.4,Partly Cloudy,23,Academic Block B,1,8,7,1,0,1,1.05,1.5,0,2.39,0,0,230,25.9,50.13,0.866,5.97,5.97,50.71,4.89,8.82,6.24,5.71,5.97
2026-07-27 18:30,0,Tuesday,30,Jul,Monsoon,No,No,No,20,88,3.6,Cloudy,23,Academic Block C,1,8,7,1,0,1,1.05,1.5,0,2.4,0,0,231,26,50.14,0.866,6,6,51.02,4.92,8.82,6.24,5.71,6
2026-07-27 18:30,0,Tuesday,30,Jul,Monsoon,No,No,No,20,88,0.6,Light Rain,23,Academic Block D,1,10,8,1,0,1,1.08,1.5,0,2.36,0,0,232,25.5,50.02,0.866,5.91,5.91,50.21,4.84,8.73,6.17,5.65,5.91
2026-07-27 18:30,0,Tuesday,30,Jul,Monsoon,No,No,No,20,88,3,Humid,23,Workshop Building,1,14,11,1,14,1,1.65,1.5,0,3.92,4.9,0,233,42,49.89,0.866,9.79,9.79,83.22,8.03,14.67,10.37,9.49,9.79
2026-07-27 18:30,0,Tuesday,30,Jul,Monsoon,No,No,No,20,88,3.8,Clear,23,Centre of Excellence,1,2,2,1,1,0,0.75,0,0.62,0,0,1.76,234,16.7,49.86,0.866,3.9,3.9,33.17,3.2,5.94,4.2,3.84,3.9
2026-07-27 19:30,1,Tuesday,30,Jul,Monsoon,No,No,No,20,87,1.2,Partly Cloudy,23,Academic Block A,2,2,2,1,1,0,0.72,0,0,0,0,0,229,19.8,50.13,0.866,4.54,4.54,38.63,3.73,4.28,4.53,4.15,4.54
2026-07-27 19:30,1,Tuesday,30,Jul,Monsoon,No,No,No,20,87,3.9,Cloudy,23,Academic Block B,2,7,6,1,7,1,0.9,1.5,0,2.51,0,0,230,27.3,50.14,0.866,6.27,6.27,53.31,5.14,5.88,6.24,5.71,6.27
2026-07-27 19:30,1,Tuesday,30,Jul,Monsoon,No,No,No,20,87,3,Light Rain,23,Academic Block C,2,7,6,1,7,1,0.9,1.5,0,2.44,0,0,231,26.4,50.02,0.866,6.11,6.11,51.92,5.01,5.88,6.24,5.71,6.11
2026-07-27 19:30,1,Tuesday,30,Jul,Monsoon,No,No,No,20,87,0.6,Humid,23,Academic Block D,2,7,6,1,7,1,0.9,1.5,0,2.31,0,0,232,24.9,49.89,0.866,5.77,5.77,49.09,4.74,5.82,6.17,5.65,5.77
